filename,filepath,text-detected,OCR,sentiment
negative_001.jpg,/kaggle/input/musait/basket/negative_001.jpg,1,"fStop Wak
iv UKRATNE Po

Conte Yxpaini |

",negative
negative_002.jpg,/kaggle/input/musait/basket/negative_002.jpg,1,"NEW ee V
NIGHTLY ATS =e ord a.
",negative
negative_003.jpg,/kaggle/input/musait/basket/negative_003.jpg,0,,negative
negative_004.jpg,/kaggle/input/musait/basket/negative_004.jpg,0,,negative
negative_005.jpg,/kaggle/input/musait/basket/negative_005.jpg,1,"NEW ee V
NIGHTLY ATS =e ord a.
",negative
negative_006.jpg,/kaggle/input/musait/basket/negative_006.jpg,1,"ZELENSKYY:
NATO ALLOWING
BOMBINGS IN

KR

DAY 10 OF RUS: RUSSIAN OFFENSIVE ~

RUSSIA CLAIMS UKRAINE PRESIDENT FLED TO POLAND
",negative
negative_007.jpg,/kaggle/input/musait/basket/negative_007.jpg,1,"aoe ‘SHELLING IN OKHTYRKA.

UKRAINE UNDER ATTACK {es

",negative
negative_008.jpg,/kaggle/input/musait/basket/negative_008.jpg,0,,negative
negative_009.jpg,/kaggle/input/musait/basket/negative_009.jpg,0,,negative
negative_010.jpg,/kaggle/input/musait/basket/negative_010.jpg,1,"aoe ‘SHELLING IN OKHTYRKA.

UKRAINE UNDER ATTACK {es

",negative
negative_011.jpg,/kaggle/input/musait/basket/negative_011.jpg,1,"sie WA DO og Res ls be

REPRINT srovent ro you sy M-c ASSOCIATES

WAR EXTRA

4
‘7
— i
§
ee Evening Circulation in the Entire South
VOL. CXL—NO. 28 ~ MONDAY, DECEMBER 8, 1941 cE 3 CENTS
i :
ey
a
oA Te oe
ie : eed |
+ |) LS oe
| jp 1 —- - + ‘eae: &:
;
| j | | | | | : \
——-—_—_+—__j}__{ {| a Reso ae nts i |
:

",negative
negative_012.jpg,/kaggle/input/musait/basket/negative_012.jpg,1,"_ <

)/)3&K:'7 ARMY.PERSONNEL
",negative
negative_013.jpg,/kaggle/input/musait/basket/negative_013.jpg,0,,negative
negative_014.jpg,/kaggle/input/musait/basket/negative_014.jpg,0,,negative
negative_015.jpg,/kaggle/input/musait/basket/negative_015.jpg,1,"_ <

)/)3&K:'7 ARMY.PERSONNEL
",negative
negative_016.jpg,/kaggle/input/musait/basket/negative_016.jpg,1,"auth BOMBED BY
JAPANESE PLANES

",negative
negative_017.jpg,/kaggle/input/musait/basket/negative_017.jpg,0,,negative
negative_018.jpg,/kaggle/input/musait/basket/negative_018.jpg,0,,negative
negative_019.jpg,/kaggle/input/musait/basket/negative_019.jpg,0,,negative
negative_020.jpg,/kaggle/input/musait/basket/negative_020.jpg,0,,negative
negative_021.jpeg,/kaggle/input/musait/basket/negative_021.jpeg,0,,negative
negative_022.jpg,/kaggle/input/musait/basket/negative_022.jpg,1,"j

Wii
ee At \ a f:
,. %& NEWS!) SPECIAL REPORT""
i) TWO BOMB EXPLOSIONS AT ee
| THE BOSTON MARATHON i
a = §6Oidas

",negative
negative_023.jpeg,/kaggle/input/musait/basket/negative_023.jpeg,0,,negative
negative_024.jpg,/kaggle/input/musait/basket/negative_024.jpg,0,,negative
negative_025.jpg,/kaggle/input/musait/basket/negative_025.jpg,0,,negative
negative_026.jpeg,/kaggle/input/musait/basket/negative_026.jpeg,0,,negative
negative_027.jpg,/kaggle/input/musait/basket/negative_027.jpg,0,,negative
negative_028.jpg,/kaggle/input/musait/basket/negative_028.jpg,0,,negative
negative_029.jpg,/kaggle/input/musait/basket/negative_029.jpg,0,,negative
negative_030.jpg,/kaggle/input/musait/basket/negative_030.jpg,0,,negative
negative_031.jpg,/kaggle/input/musait/basket/negative_031.jpg,1,"eotet wi ac
feeraeft
soned dt

",negative
negative_032.jpg,/kaggle/input/musait/basket/negative_032.jpg,1,"ee NS
= a | A 4
INDIA-CHINA GALWAN STAND-OFF:
AT LEAST 20 SOLDIERS KILLED
",negative
negative_033.jpg,/kaggle/input/musait/basket/negative_033.jpg,0,,negative
negative_034.jpg,/kaggle/input/musait/basket/negative_034.jpg,0,,negative
negative_035.jpg,/kaggle/input/musait/basket/negative_035.jpg,1,"ee NS
= a | A 4
INDIA-CHINA GALWAN STAND-OFF:
AT LEAST 20 SOLDIERS KILLED
",negative
negative_036.jpeg,/kaggle/input/musait/basket/negative_036.jpeg,0,,negative
negative_037.jpg,/kaggle/input/musait/basket/negative_037.jpg,1,"JAMMU AND KASHMIR 8h
5 SOLDIERS KILLED IN POONCH

-

",negative
