filename,filepath,text-detected,gen-text,sentiment
negative_001.jpg,/kaggle/input/musait/dataset/basket/negative_001.jpg,1,,negative
negative_002.jpg,/kaggle/input/musait/dataset/basket/negative_002.jpg,1,,negative
negative_003.jpg,/kaggle/input/musait/dataset/basket/negative_003.jpg,0,a group of people standing around a building that has been demolished,negative
negative_004.jpg,/kaggle/input/musait/dataset/basket/negative_004.jpg,0,a boy stands in rubble near a destroyed building,negative
negative_006.jpg,/kaggle/input/musait/dataset/basket/negative_006.jpg,1,,negative
negative_007.jpg,/kaggle/input/musait/dataset/basket/negative_007.jpg,1,,negative
negative_008.jpg,/kaggle/input/musait/dataset/basket/negative_008.jpg,1,,negative
negative_009.jpg,/kaggle/input/musait/dataset/basket/negative_009.jpg,0,people walk through a flooded street in venice,negative
negative_011.jpg,/kaggle/input/musait/dataset/basket/negative_011.jpg,1,,negative
negative_012.jpg,/kaggle/input/musait/dataset/basket/negative_012.jpg,1,,negative
negative_013.jpg,/kaggle/input/musait/dataset/basket/negative_013.jpg,0,a man walks through a destroyed street in haiti,negative
negative_014.jpg,/kaggle/input/musait/dataset/basket/negative_014.jpg,0,people walk along the beach as waves crash into the shore,negative
negative_016.jpg,/kaggle/input/musait/dataset/basket/negative_016.jpg,1,,negative
negative_018.jpg,/kaggle/input/musait/dataset/basket/negative_018.jpg,0,a street with rubble and trees in the background,negative
negative_019.jpg,/kaggle/input/musait/dataset/basket/negative_019.jpg,0,a woman holding a child in a flooded area,negative
negative_020.jpg,/kaggle/input/musait/dataset/basket/negative_020.jpg,1,,negative
negative_021.jpeg,/kaggle/input/musait/dataset/basket/negative_021.jpeg,1,,negative
negative_024.jpg,/kaggle/input/musait/dataset/basket/negative_024.jpg,0,people are washing dishes in a muddy area,negative
negative_025.jpg,/kaggle/input/musait/dataset/basket/negative_025.jpg,0,people walk down a street in the aftermath of typhoon person,negative
negative_026.jpeg,/kaggle/input/musait/dataset/basket/negative_026.jpeg,1,,negative
negative_028.jpg,/kaggle/input/musait/dataset/basket/negative_028.jpg,0,workers are working on a house that has been damaged by a landslide,negative
negative_029.jpg,/kaggle/input/musait/dataset/basket/negative_029.jpg,0,a building is being demolished in front of a large building,negative
negative_030.jpg,/kaggle/input/musait/dataset/basket/negative_030.jpg,1,,negative
negative_031.jpg,/kaggle/input/musait/dataset/basket/negative_031.jpg,1,,negative
negative_033.jpg,/kaggle/input/musait/dataset/basket/negative_033.jpg,0,a fire burns in the forest near trees,negative
negative_034.jpg,/kaggle/input/musait/dataset/basket/negative_034.jpg,0,women in india pray for rain,negative
negative_035.jpg,/kaggle/input/musait/dataset/basket/negative_035.jpg,1,,negative
negative_036.jpeg,/kaggle/input/musait/dataset/basket/negative_036.jpeg,1,,negative
