filename,filepath,img_height,img_width,text_detected,ocr,coordinates,text_height,text_width,sentiment
10000.jpg,/kaggle/input/mvsamultiple/MVSA/data/10000.jpg,450,600,False,,[],0,0,positive
10001.jpg,/kaggle/input/mvsamultiple/MVSA/data/10001.jpg,448,600,True,"NotinOurName
LING
FRACK
@CDHILLS","[{'x': 7, 'y': 6}, {'x': 599, 'y': 6}, {'x': 599, 'y': 443}, {'x': 7, 'y': 443}]",437,592,positive
10002.jpg,/kaggle/input/mvsamultiple/MVSA/data/10002.jpg,41,75,True,PC,"[{'x': 14, 'y': 5}, {'x': 70, 'y': 5}, {'x': 70, 'y': 33}, {'x': 14, 'y': 33}]",28,56,neutral
10003.jpg,/kaggle/input/mvsamultiple/MVSA/data/10003.jpg,450,600,True,"GPAC
Gas Processing
Association Canada
Allies","[{'x': 303, 'y': 87}, {'x': 485, 'y': 87}, {'x': 485, 'y': 277}, {'x': 303, 'y': 277}]",190,182,positive
10004.jpg,/kaggle/input/mvsamultiple/MVSA/data/10004.jpg,261,600,True,"O
Oxford Dictionaries
Language matters
Canada
reimagine what
you can do
sprout⚫
ABOUT
September 8, 2015
$13995 EXPERT SERVICE
GREAT PRICING
HOME BRITISH & WORLD ENGLISH CANADA
Canada
LOGIN
English▾
Dictionary Synonyms Grammar. Explore
Certified Service
КАЙН НОВЕ
Get more from
Oxford Dictionaries
Subscribe to remove adverts and
access premium resources
THAVE THE ENTRY
Most popular in Canada
Une breaks: Canada
buy now
Pronunciation: /kanede/
Definition of Canada in English
The second-largest country in the world, covering the entire northern half of North America with
the exception of Alaska, population 33,487 200 (est. 2009), official languages, English and
French; capital, Ottawa,
1. octopus
2 Canada
3 migrant
4 racism
5 fasosm
nding","[{'x': 9, 'y': 2}, {'x': 596, 'y': 2}, {'x': 596, 'y': 251}, {'x': 9, 'y': 251}]",249,587,neutral
10005.jpg,/kaggle/input/mvsamultiple/MVSA/data/10005.jpg,600,600,True,"RE-ELECT
CHUNGSEN (CS)
LEUNG
Conservative","[{'x': 219, 'y': 321}, {'x': 444, 'y': 321}, {'x': 444, 'y': 448}, {'x': 219, 'y': 448}]",127,225,neutral
10006.jpg,/kaggle/input/mvsamultiple/MVSA/data/10006.jpg,480,600,False,,[],0,0,neutral
10007.jpg,/kaggle/input/mvsamultiple/MVSA/data/10007.jpg,420,599,True,"Pollenize
Get informed
Pollenze is your guide to the
2015 Canadian Federal Election.
We break down each of the main
parties' platforms point-by-point
and give you the information you
need to make an informed
decision on election day.
Select a party to learn more
about their platform
Follow us on Twitter at
@pollenizeorg for updates as the
race for parliament continues","[{'x': 15, 'y': 21}, {'x': 121, 'y': 21}, {'x': 121, 'y': 334}, {'x': 15, 'y': 334}]",313,106,neutral
10008.jpg,/kaggle/input/mvsamultiple/MVSA/data/10008.jpg,392,599,False,,[],0,0,neutral
10009.jpg,/kaggle/input/mvsamultiple/MVSA/data/10009.jpg,450,600,True,"green
HATCH
KENT
HEHR
Liberal
TRUDE","[{'x': 211, 'y': 306}, {'x': 598, 'y': 306}, {'x': 598, 'y': 397}, {'x': 211, 'y': 397}]",91,387,neutral
10010.jpg,/kaggle/input/mvsamultiple/MVSA/data/10010.jpg,399,600,True,"TRUDEAU
Studied environmental
geography at McGill and
engineering at Universite de
Montreal, but failed to
complete degrees in either.
Work history: Snow board
instructor, Camp counsellor,
White water rafting instructor,
Substitute drama teacher.
Charges charities and public
school boards for speeches
while an MP.","[{'x': 274, 'y': 7}, {'x': 563, 'y': 7}, {'x': 563, 'y': 372}, {'x': 274, 'y': 372}]",365,289,negative
10011.jpg,/kaggle/input/mvsamultiple/MVSA/data/10011.jpg,450,600,True,Libéral,"[{'x': 315, 'y': 209}, {'x': 349, 'y': 209}, {'x': 349, 'y': 218}, {'x': 315, 'y': 218}]",9,34,neutral
10012.jpg,/kaggle/input/mvsamultiple/MVSA/data/10012.jpg,310,599,True,"Results: The parties behind your priorities
You picked 37 policies. The percentages below tell you how often your own
picks matched each party's proposals.
Conservative
59%
Green
39%
NDP
38%
Liberal
28%","[{'x': 80, 'y': 42}, {'x': 536, 'y': 42}, {'x': 536, 'y': 284}, {'x': 80, 'y': 284}]",242,456,positive
10013.jpg,/kaggle/input/mvsamultiple/MVSA/data/10013.jpg,298,597,True,"ADOLF HITLER
""The best way to take control over a people
and control them utterly is to take a little of
their freedom at a time, to erode rights by a
thousand tiny and almost imperceptible
reductions. In this way, the people will not
see those rights and freedoms being removed
until past the point at which these changes
cannot be reversed.""
A
EXPECT US
Mein Kampf
directly from his manifesto...","[{'x': 2, 'y': 10}, {'x': 400, 'y': 10}, {'x': 400, 'y': 285}, {'x': 2, 'y': 285}]",275,398,neutral
10014.jpg,/kaggle/input/mvsamultiple/MVSA/data/10014.jpg,314,397,False,,[],0,0,positive
10015.jpg,/kaggle/input/mvsamultiple/MVSA/data/10015.jpg,800,480,True,"O
61% 11:11 PM
Paul Neumann
-72
Tweet
@PaulOttoNeum...
Hey @CBCTrending, what's wrong
with men-only clubs? Sometimes
guys just need to chill & hang out
with other guys. Nothing wrong with
that.
Will you be trying to take down
women-only clubs, too? No? Then
shut up!!
Leduc County, Alberta
Ο","[{'x': 11, 'y': 6}, {'x': 469, 'y': 6}, {'x': 469, 'y': 766}, {'x': 11, 'y': 766}]",760,458,positive
10016.jpg,/kaggle/input/mvsamultiple/MVSA/data/10016.jpg,800,600,True,"10101
TUGHAN
AUGHAN","[{'x': 0, 'y': 239}, {'x': 189, 'y': 239}, {'x': 189, 'y': 366}, {'x': 0, 'y': 366}]",127,189,positive
