filename,filepath,img_height,img_width,text_detected,ocr,coordinates,text_height,text_width,sentiment
1.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1.jpg,325,551,True,"ONE DOES NOT SIMPLY
WALK AFTER LEG DAY
quickmeme.com","[{'x': 56, 'y': 18}, {'x': 549, 'y': 18}, {'x': 549, 'y': 324}, {'x': 56, 'y': 324}]",306,493,positive
10.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/10.jpg,450,600,False,,[],0,0,positive
100.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/100.jpg,337,599,True,"GHIRARDELLI
CHOCOLATE
SQUARES
Caramel
Filing
Happy
Valentine's Day!","[{'x': 172, 'y': 21}, {'x': 514, 'y': 21}, {'x': 514, 'y': 287}, {'x': 172, 'y': 287}]",266,342,positive
1000.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1000.jpg,600,600,True,C,"[{'x': 277, 'y': 331}, {'x': 346, 'y': 331}, {'x': 346, 'y': 394}, {'x': 277, 'y': 394}]",63,69,positive
1001.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1001.jpg,961,436,True,"Nig what u saying
iMessage","[{'x': 21, 'y': 470}, {'x': 158, 'y': 470}, {'x': 158, 'y': 948}, {'x': 21, 'y': 948}]",478,137,positive
1002.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1002.jpg,387,600,False,,[],0,0,positive
1003.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1003.jpg,1024,577,True,"8
Workout time. Reach this goal#####","[{'x': 31, 'y': 39}, {'x': 543, 'y': 39}, {'x': 543, 'y': 673}, {'x': 31, 'y': 673}]",634,512,positive
1004.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1004.jpg,1024,576,True,"30 DAY SQUAT CHALLENGE
Day 16 Rest
Day 1
50 squats
Day 2
55 squats
Day 17 150 squats
Day 3
60 squats
Day 18
155 squats
Day 4
Rest
Day 19
160 squats
Day 5
70 squats
Day 20
Rest
Day 6
75 squats
Day 21
180 squats
Day 7
80 squats
Day 22
185 squats
Day 8
Rest
Day 9
100 squats
Day 10
105 squats
Day 11
110 squats
Day 12 Rest
Day 27
Day 23 190 squats
Day 24
Rest
Day 25 220 squats
Day 26 225 squats
230 squats
Day 13
130 squats
Day 28
Rest
Day 14
135 squats
Day 15
140 squats
Day 29 240 squats
Day 30 250 squats","[{'x': 18, 'y': 256}, {'x': 564, 'y': 256}, {'x': 564, 'y': 750}, {'x': 18, 'y': 750}]",494,546,positive
1005.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1005.jpg,584,600,True,"$500
REWARD
If you have any
info, please call:
1-800-222-8477","[{'x': 16, 'y': 14}, {'x': 219, 'y': 14}, {'x': 219, 'y': 237}, {'x': 16, 'y': 237}]",223,203,positive
1006.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1006.jpg,450,600,True,NEWS,"[{'x': 159, 'y': 42}, {'x': 264, 'y': 42}, {'x': 264, 'y': 76}, {'x': 159, 'y': 76}]",34,105,negative
1007.jpg,/kaggle/input/mvsasingle/MVSA_Single/data/1007.jpg,502,599,True,"I'm not fat.
Shared by
Grammarly
I'm just a little Husky.","[{'x': 35, 'y': 19}, {'x': 580, 'y': 19}, {'x': 580, 'y': 479}, {'x': 35, 'y': 479}]",460,545,positive
